PMID,PROJECT_NUMBER
7420349,R01CA024975
7203667,Z01HD000364
6162027,R01AM013131
6777439,R01AI011271
7436412,R01AM019031
14768696,R01CA026824
6972358,R01CA022556
7432500,R01AM019022
6256501,R01GM025323
6893761,P30CA013148
7435393,T32HL007416
7452243,F31MH007688
7433999,F32MH007446
6893761,P02CA013148
6774181,R01ES001941
7417820,F32HL005635
6992740,M01RR000051
7426632,R01AM009970
6250581,R01AI012942
6779869,R01AM025646
6773541,P01HL025066
6252309,T32AI007008
6968582,P01CA017404
7452698,R01CA020547
6448088,N01CM097268
6161253,R01CA022184
6265384,R01CA023999
7407074,R01GM025703
7006514,R01GM020114
7447482,R01MH029387
6257168,R01HL022813
7412243,K04AM000304
